iter	Passed	Remaining
0	150	150064
1	151	75377
2	151	50474
3	152	38044
4	153	30536
5	154	25515
6	154	21933
7	155	19246
8	155	17157
9	156	15484
10	157	14116
11	157	12973
12	158	12009
13	158	11182
14	159	10466
15	159	9838
16	160	9285
17	161	8794
18	161	8352
19	162	7955
20	162	7596
21	163	7270
22	164	6971
23	164	6698
24	165	6446
25	165	6214
26	166	5998
27	167	5800
28	167	5613
29	168	5439
30	168	5276
31	169	5122
32	169	4980
33	170	4845
34	171	4718
35	171	4598
36	172	4484
37	172	4377
38	173	4275
39	174	4178
40	174	4086
41	175	3998
42	175	3915
43	176	3834
44	177	3758
45	177	3684
46	178	3614
47	178	3547
48	179	3482
49	180	3420
50	180	3360
51	181	3303
52	181	3248
53	182	3195
54	182	3144
55	183	3094
56	184	3046
57	184	3000
58	185	2955
59	185	2911
60	186	2870
61	187	2829
62	187	2790
63	188	2754
64	189	2718
65	189	2684
66	190	2651
67	191	2621
68	192	2590
69	192	2559
70	193	2528
71	193	2498
72	194	2469
73	195	2440
74	195	2412
75	196	2385
76	196	2358
77	197	2333
78	197	2308
79	198	2283
80	199	2259
81	199	2235
82	200	2209
83	200	2187
84	201	2165
85	201	2143
86	202	2122
87	203	2104
88	203	2084
89	204	2064
90	204	2045
91	205	2026
92	205	2008
93	206	1990
94	207	1972
95	207	1955
96	208	1938
97	208	1921
98	209	1905
99	210	1890
100	210	1875
101	211	1861
102	212	1848
103	212	1834
104	213	1821
105	214	1807
106	214	1793
107	215	1780
108	216	1767
109	216	1754
110	217	1742
111	218	1731
112	218	1718
113	219	1706
114	220	1694
115	220	1683
116	221	1671
117	222	1661
118	222	1649
119	223	1638
120	224	1628
121	224	1616
122	225	1605
123	225	1595
124	226	1584
125	226	1574
126	227	1563
127	228	1553
128	228	1543
129	229	1533
130	229	1523
131	230	1514
132	231	1506
133	231	1497
134	232	1488
135	232	1479
136	233	1471
137	234	1462
138	234	1453
139	235	1446
140	236	1438
141	236	1429
142	237	1420
143	237	1412
144	238	1405
145	238	1397
146	239	1389
147	239	1381
148	240	1374
149	241	1366
150	241	1359
151	242	1351
152	242	1344
153	243	1337
154	243	1330
155	244	1323
156	245	1316
157	245	1309
158	246	1302
159	246	1296
160	247	1288
161	247	1282
162	248	1276
163	249	1270
164	249	1264
165	250	1257
166	250	1251
167	251	1245
168	252	1239
169	252	1233
170	253	1227
171	253	1222
172	254	1216
173	254	1210
174	255	1204
175	256	1199
176	256	1193
177	257	1188
178	257	1182
179	258	1177
180	258	1171
181	259	1166
182	260	1161
183	260	1156
184	261	1150
185	261	1145
186	262	1140
187	262	1135
188	263	1131
189	264	1127
190	265	1123
191	266	1119
192	266	1114
193	267	1110
194	267	1105
195	268	1100
196	268	1096
197	269	1091
198	270	1086
199	270	1082
200	271	1077
201	271	1073
202	272	1069
203	272	1064
204	273	1060
205	274	1056
206	274	1051
207	275	1047
208	275	1043
209	276	1039
210	276	1035
211	277	1031
212	278	1027
213	278	1023
214	279	1019
215	279	1016
216	280	1012
217	281	1008
218	281	1004
219	282	1000
220	282	997
221	283	993
222	284	989
223	284	985
224	285	982
225	285	978
226	286	974
227	286	971
228	287	967
229	287	964
230	288	960
231	289	957
232	289	953
233	290	950
234	290	946
235	291	943
236	291	940
237	292	936
238	293	933
239	293	929
240	294	927
241	294	923
242	295	920
243	296	917
244	296	914
245	297	911
246	298	908
247	298	905
248	299	902
249	299	899
250	300	896
251	300	893
252	301	890
253	302	887
254	302	884
255	303	881
256	303	878
257	304	875
258	304	872
259	305	869
260	306	866
261	306	863
262	307	860
263	307	858
264	308	855
265	309	852
266	309	849
267	310	847
268	310	844
269	311	841
270	311	838
271	312	836
272	313	833
273	313	830
274	314	828
275	314	825
276	315	823
277	315	820
278	316	817
279	317	815
280	317	812
281	318	810
282	318	807
283	319	805
284	319	802
285	320	799
286	321	797
287	321	795
288	322	792
289	322	790
290	323	787
291	324	785
292	324	783
293	325	780
294	325	778
295	326	776
296	326	773
297	327	771
298	328	769
299	328	766
300	329	764
301	329	762
302	330	760
303	331	757
304	331	755
305	332	753
306	332	751
307	333	748
308	333	746
309	334	744
310	335	742
311	335	740
312	336	737
313	336	735
314	337	733
315	337	731
316	338	729
317	339	727
318	339	725
319	340	723
320	340	721
321	341	719
322	342	716
323	342	714
324	343	712
325	343	710
326	344	708
327	344	706
328	345	704
329	346	702
330	346	700
331	347	698
332	347	696
333	348	694
334	348	692
335	349	690
336	350	688
337	350	686
338	351	684
339	351	682
340	352	681
341	352	679
342	353	677
343	354	675
344	354	673
345	355	671
346	356	669
347	356	668
348	357	666
349	357	664
350	358	662
351	358	660
352	359	658
353	359	656
354	360	654
355	361	653
356	361	651
357	362	649
358	362	647
359	363	646
360	363	644
361	364	642
362	365	640
363	365	638
364	366	637
365	366	635
366	367	633
367	368	632
368	368	630
369	369	628
370	369	627
371	370	625
372	371	623
373	371	622
374	372	620
375	372	618
376	373	616
377	373	615
378	374	613
379	374	611
380	375	610
381	376	608
382	376	606
383	377	605
384	377	603
385	378	602
386	379	600
387	379	599
388	380	597
389	381	596
390	381	594
391	382	592
392	382	591
393	383	589
394	384	588
395	384	586
396	385	585
397	385	583
398	386	582
399	387	580
400	387	579
401	388	577
402	389	576
403	389	574
404	390	573
405	390	571
406	391	570
407	391	568
408	392	567
409	393	565
410	393	564
411	394	562
412	394	561
413	395	559
414	395	558
415	396	556
416	397	555
417	397	553
